,ACCOUNT,RN,COMPANY,SITE,COUNTY,REGION,SIC,SIC DESCRIPTION,REPORTING YEAR,CO TPY,NOX TPY,Pb TPY,PM10 TPY,PM2.5 TPY,SO2 TPY,VOC TPY,ADDRESS,LATITUDE,LONGITUDE
10,AB0023R,RN100213594,PALMER OF TEXAS TANKS INC,ANDREWS PLANT,ANDREWS,7.0,3089.0,"PLASTICS PRODUCTS, NEC",2020,0,0,0.0,0.0026,0.0026,0,5.2246,"PALMER OF TEXAS TANKS INC,ANDREWS,TEXAS,USA",32.31871580000001,-102.5457155
11,AB0164V,RN101702439,WASTE CONTROL SPECIALISTS INC,ANDREWS WASTE TREATMENT PLANT,ANDREWS,7.0,4953.0,REFUSE SYSTEMS,2020,0.149,0.6741,0.0003,2.079,1.1437,0.0452,0.8945,"WASTE CONTROL SPECIALISTS INC,ANDREWS,TEXAS,USA",32.3196036,-102.5484237
12,AC0011N,RN101896439,GEORGIA-PACIFIC CHEMICALS LLC,LUFKIN RESIN PLANT,ANGELINA,10.0,2821.0,PLASTICS MATERIALS AND SYNTHETIC RESINS,2020,15.1578,2.652,0.0,3.9226,3.9226,0.027,19.6289,"GEORGIA-PACIFIC CHEMICALS LLC,ANGELINA,TEXAS,USA",31.2704698,-94.645035
13,AC0051B,RN100211143,CLEMSA LUMBER COMPANY,POLLOK LUMBER MILL,ANGELINA,10.0,2421.0,SAWMILLS & PLANING MILLS GENERAL,2020,42.991,15.7635,0.0036,15.5786,8.6737,1.7911,18.3931,"CLEMSA LUMBER COMPANY,ANGELINA,TEXAS,USA",31.4397621,-94.84616849999999
14,ACA005E,RN104725445,GEORGIA PACIFIC WOOD PRODUCTS LLC,GEORGIA PACIFIC DIBOLL LUMBER OPERATIONS,ANGELINA,10.0,2436.0,SOFTWOOD VENEER AND PLYWOOD,2020,681.63,181.574,0.081,75.6835,52.093,5.9831,798.2352,"GEORGIA PACIFIC WOOD PRODUCTS LLC,ANGELINA,TEXAS,USA",31.2007592,-94.78726429999999
15,ACA006F,RN110406907,ANGELINA FOREST PRODUCTS LLC,ANGELINA FOREST PRODUCTS SAWMILL,ANGELINA,10.0,2421.0,SAWMILLS & PLANING MILLS GENERAL,2020,68.0091,7.3323,0.0093,15.3181,10.464,4.8681,456.0456,"ANGELINA FOREST PRODUCTS LLC,ANGELINA,TEXAS,USA",31.340321,-94.72879
16,AF0010F,RN100226794,NORTHERN NATURAL GAS CO,CLAUDE COMPRESSOR STATION,ARMSTRONG,1.0,4922.0,NATURAL GAS TRANSMISSION,2020,27.5031,107.3758,0.0,2.2293,2.2293,1.157,2.0165,"NORTHERN NATURAL GAS CO,ARMSTRONG,TEXAS,USA",35.0012059,-101.4721296
17,AG0007G,RN100226539,SAN MIGUEL ELECTRIC COOPERATIVE INC,SAN MIGUEL ELECTRIC PLANT,ATASCOSA,13.0,4911.0,ELECTRIC SERVICES,2020,3486.85,2357.7,0.4663,89.7404,73.9563,10411.6576,13.6872,"SAN MIGUEL ELECTRIC COOPERATIVE INC,ATASCOSA,TEXAS,USA",28.7141735,-98.46767419999999
18,AG0024G,RN102643327,ETC TEXAS PIPELINE LTD,FASHING GAS TREATING PLANT,ATASCOSA,13.0,1321.0,NATURAL GAS LIQUIDS,2020,21.8349,40.5394,0.0,2.5831,2.5831,75.7116,14.9065,"ETC TEXAS PIPELINE LTD,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026
19,AGA003C,RN107050122,MARATHON OIL EF LLC,GUAJILLO CENTRAL FACILITY,ATASCOSA,13.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,35.6212,59.4699,0.0,4.9898,4.9898,123.4601,56.5175,"MARATHON OIL EF LLC,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026
20,AGA013N,RN106259450,MARATHON OIL EF LLC,EAST EXCELSIOR CENTRAL FACILITY,ATASCOSA,13.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,11.8716,37.7063,0.0,2.5156,2.5156,1.6459,42.3029,"MARATHON OIL EF LLC,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026
21,AGA015P,RN106259005,MARATHON OIL EF LLC,WEST EXCELSIOR CENTRAL FACILITY,ATASCOSA,13.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,27.2193,37.2431,0.0,2.8132,2.8132,2.7079,48.5369,"MARATHON OIL EF LLC,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026
22,AGA016Q,RN110668753,MARATHON OIL EF LLC,GUAJILLO EOR FACILITY,ATASCOSA,13.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,4.1233,5.1349,0.0,0.3789,0.3789,0.2913,16.9085,"MARATHON OIL EF LLC,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026
23,AH0039F,RN100220672,ACME BRICK COMPANY,SEALY PLANT,AUSTIN,12.0,3251.0,BRICK AND STRUCTURAL CLAY TILE,2020,100.6072,6.5754,0.0065,8.1718,0.0115,3.0421,3.9521,"ACME BRICK COMPANY,AUSTIN,TEXAS,USA",30.267153,-97.7430608
24,BA0064U,RN100223551,NATURAL GAS PIPELINE CO OF AMERICA LLC,BOOSTER STATION 168,BAILEY,2.0,4922.0,NATURAL GAS TRANSMISSION,2020,10.165,45.238,0.0,3.972,3.972,0.113,6.898,"NATURAL GAS PIPELINE CO OF AMERICA LLC,BAILEY,TEXAS,USA",31.9685988,-99.9018131
25,BB0005C,RN101630481,ENTERPRISE  PRODUCTS  OPERATING  LLC,BANDERA COMPRESSOR STATION,BANDERA,13.0,4922.0,NATURAL GAS TRANSMISSION,2020,72.4734,733.2666,0.0,3.4041,3.4041,0.2004,41.0813,"ENTERPRISE  PRODUCTS  OPERATING  LLC,BANDERA,TEXAS,USA",29.7266131,-99.0736462
26,BC0015L,RN102038486,LOWER COLORADO RIVER AUTHORITY,SIM GIDEON POWER PLANT,BASTROP,11.0,4911.0,ELECTRIC SERVICES,2020,15.247,501.8793,0.0016,25.6869,25.6525,2.0898,12.1135,"LOWER COLORADO RIVER AUTHORITY,BASTROP,TEXAS,USA",30.0078741,-97.4120636
27,BC0018F,RN100212034,MERIDIAN BRICK LLC,ELGIN FACILITY,BASTROP,11.0,3251.0,BRICK AND STRUCTURAL CLAY TILE,2020,85.2124,25.3447,0.0007,15.9489,9.8213,32.3468,6.0682,"MERIDIAN BRICK LLC,BASTROP,TEXAS,USA",30.1104947,-97.3152701
28,BC0059O,RN100225846,ACME BRICK COMPANY,ELGIN PLANT,BASTROP,11.0,3251.0,BRICK AND STRUCTURAL CLAY TILE,2020,33.2513,13.4759,0.0122,47.8244,8.9278,41.5371,0.327,"ACME BRICK COMPANY,BASTROP,TEXAS,USA",30.3243012,-97.29542010000002
29,BC0082T,RN100723915,GENTEX POWER CORPORATION,LOST PINES 1 POWER PLANT,BASTROP,11.0,4911.0,ELECTRIC SERVICES,2020,393.4187,201.8673,0.0,51.6861,50.9061,6.3758,7.2899,"GENTEX POWER CORPORATION,BASTROP,TEXAS,USA",30.1104947,-97.3152701
30,BC0083R,RN101056851,BASTROP ENERGY PARTNERS LP,BASTROP ENERGY CENTER,BASTROP,11.0,4911.0,ELECTRIC SERVICES,2020,36.7758,272.6296,0.0,32.6144,32.6144,5.3086,24.21,"BASTROP ENERGY PARTNERS LP,BASTROP,TEXAS,USA",30.1104947,-97.3152701
31,BE0013Q,RN100226505,ENSIGN OPERATING LLC,PAWNEE GAS PLANT,BEE,14.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,65.5355,54.0943,0.0,3.1437,3.1437,274.9484,10.7595,"ENSIGN OPERATING LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999
32,BE0022P,RN102735081,KINDER MORGAN TEXAS PIPELINE LLC,KENEDY COMPRESSOR STATION,BEE,14.0,4922.0,NATURAL GAS TRANSMISSION,2020,28.5751,105.3451,0.0,2.1544,2.1544,1.1096,22.2989,"KINDER MORGAN TEXAS PIPELINE LLC,BEE,TEXAS,USA",31.9685988,-99.9018131
33,BE0026H,RN100225408,TRUNKLINE GAS COMPANY LLC,BEEVILLE COMPRESSOR STATION,BEE,14.0,4923.0,GAS TRANSMISSION AND DISTRIBUTION,2020,0.0121,0.1556,0.0,0.0004,0.0004,0,1.0723,"TRUNKLINE GAS COMPANY LLC,BEE,TEXAS,USA",28.3896707,-97.5172024
34,BEA003C,RN106270051,TPL SOUTHTEX PIPELINE COMPANY LLC,SILVER OAK PROCESSING PLANT,BEE,14.0,1321.0,NATURAL GAS LIQUIDS,2020,78.2219,111.0651,0.0,8.195,8.195,0.5672,72.2691,"TPL SOUTHTEX PIPELINE COMPANY LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999
35,BEA004D,RN106476377,FRIO LASALLE PIPELINE LLC,LONE STAR PROCESSING FACILITY,BEE,14.0,1321.0,NATURAL GAS LIQUIDS,2020,80.7971,85.5994,0.0,6.4913,6.4913,2.2634,67.0514,"FRIO LASALLE PIPELINE LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999
36,BEA005E,RN106085418,MARATHON EAGLE FORD MIDSTREAM LLC,SUGARLOAF STATION,BEE,14.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,18.9094,32.0294,0.0,2.5412,2.5412,0.1856,47.64,"MARATHON EAGLE FORD MIDSTREAM LLC,BEE,TEXAS,USA",32.7848517,-96.9008376
37,BF0012H,RN100211242,E R CARPENTER LP,CUSHIONING MANUFACTURING TEMPLE DIVISION,BELL,9.0,3086.0,"PLASTICS, FOAM PRODUCTS",2020,3.2092,3.8304,0.0,0.7024,0.2905,0.0231,108.7664,"E R CARPENTER LP,BELL,TEXAS,USA",31.1228455,-97.3446585
38,BF0053Q,RN100228196,PACTIV LLC,TEMPLE PLANT,BELL,9.0,3086.0,"PLASTICS, FOAM PRODUCTS",2020,0.676,3.22,0.0,14.246,0.365,0.025,340.6886,"PACTIV LLC,BELL,TEXAS,USA",31.134411,-97.5247243
39,BF0089S,RN100219401,WASTE MANAGEMENT OF TEXAS  INC,TEMPLE RECYCLING & DISPOSAL FACILITY,BELL,9.0,4953.0,REFUSE SYSTEMS,2020,109.065,20.47,0.0,21.081,10.941,3.319,8.467,"WASTE MANAGEMENT OF TEXAS  INC,BELL,TEXAS,USA",33.6103837,-96.4108188
40,BF0104B,RN100215524,BELCO MANUFACTURING COMPANY INC,BELCO MANUFACTURING,BELL,9.0,2221.0,BROADWOVEN FABRIC MILLS/MAN-MADE FIBER AND SILK,2020,0,0,0.0,0.936,0.936,0,40.41,"BELCO MANUFACTURING COMPANY INC,BELL,TEXAS,USA",31.051071,-97.43585399999999
41,BF0107S,RN100215243,AMERICAN ROCKWOOL MANUFACTURING LLC,NOLANVILLE PLANT,BELL,9.0,3296.0,MINERAL WOOL,2020,0,0,0.0,0,0,0,0,"AMERICAN ROCKWOOL MANUFACTURING LLC,BELL,TEXAS,USA",31.0750156,-97.5712964
42,BF0110G,RN100215631,WILSONART LLC,TEMPLE NORTH LAMINATE FACILITY,BELL,9.0,3089.0,"PLASTICS PRODUCTS, NEC",2020,20.0489,51.2712,0.0,23.2235,2.7008,0.2449,37.4295,"WILSONART LLC,BELL,TEXAS,USA",31.13115479999999,-97.341962
43,BF0129I,RN101612083,US DEPT OF THE ARMY,FORT HOOD,BELL,9.0,9711.0,NATIONAL SECURITY,2020,117.1639,40.362,0.2133,19.5601,13.2107,0.7223,11.3196,"US DEPT OF THE ARMY,BELL,TEXAS,USA",31.134411,-97.5247243
44,BF0139F,RN100223254,VIRON INTERNATIONAL CORPORATION,FIBERGLASS SPRAY FACILITY,BELL,9.0,5075.0,WARM AIR HEAT & AIR CONDITIONING,2020,0,0,0.0,0,0,0,5.45,"VIRON INTERNATIONAL CORPORATION,BELL,TEXAS,USA",31.13269,-97.353481
45,BFA003C,RN105380216,TEMPLE GENERATION SF LLC,PANDA TEMPLE POWER STATION,BELL,9.0,4911.0,ELECTRIC SERVICES,2020,307.9048,156.5819,0.0,51.6438,51.5644,12.9365,33.9004,"TEMPLE GENERATION SF LLC,BELL,TEXAS,USA",31.0982344,-97.342782
46,BFA004D,RN104385869,JONES-BELL LLC,ECS PLANT,BELL,9.0,3089.0,"PLASTICS PRODUCTS, NEC",2020,0,0,0.0,0,0,0,18.215,"JONES-BELL LLC,BELL,TEXAS,USA",31.134411,-97.5247243
47,BFA007G,RN106392871,REYNOLDS CONSUMER PRODUCTS LLC,REYNOLDS TEMPLE PLANT,BELL,9.0,3086.0,"PLASTICS, FOAM PRODUCTS",2020,0.2059,0.3519,0.0,2.4579,0.101,0.0107,0.5483,"REYNOLDS CONSUMER PRODUCTS LLC,BELL,TEXAS,USA",31.1281719,-97.3405456
48,BG0045E,RN100211507,CAPITOL AGGREGATES INC,PORTLAND CEMENT,BEXAR,13.0,3241.0,"CEMENT, HYDRAULIC",2020,556.3699,863.9269,0.0067,79.4637,46.757,361.7697,51.1738,"CAPITOL AGGREGATES INC,BEXAR,TEXAS,USA",29.329388,-98.7452349
49,BG0057U,RN100217975,CITY PUBLIC SERVICE BOARD,CALAVERAS PLANT,BEXAR,13.0,4911.0,ELECTRIC SERVICES,2020,720.5004,3349.8155,0.0577,314.4696,197.0941,758.1322,58.0115,"CITY PUBLIC SERVICE BOARD,BEXAR,TEXAS,USA",29.3722978,-98.40711979999999
50,BG0059Q,RN100217439,CITY PUBLIC SERVICE BOARD,LEON CREEK PLANT,BEXAR,13.0,4911.0,ELECTRIC SERVICES,2020,6.7903,12.1968,0.0,3.4465,3.4414,3.8974,2.1828,"CITY PUBLIC SERVICE BOARD,BEXAR,TEXAS,USA",29.3722978,-98.40711979999999
51,BG0063C,RN102071131,NUSTAR LOGISTICS LP,SAN ANTONIO TERMINAL EAST,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,11.2454,4.2931,0.0,0.2333,0.2333,0,41.0208,"NUSTAR LOGISTICS LP,BEXAR,TEXAS,USA",29.4200763,-98.5721016
52,BG0064A,RN100668573,ENTERPRISE HYDROCARBONS LP,SAN MARTIN GAS PLANT,BEXAR,13.0,1321.0,NATURAL GAS LIQUIDS,2020,11.8946,108.3759,0.0,1.9665,1.9665,0.9429,2.5984,"ENTERPRISE HYDROCARBONS LP,BEXAR,TEXAS,USA",29.4200763,-98.5721016
53,BG0075S,RN100542729,US DEPT OF AIR FORCE,JBSA LACKLAND,BEXAR,13.0,9711.0,NATIONAL SECURITY,2020,18.6249,18.6185,0.015,2.2835,1.9872,0.3377,10.2062,"US DEPT OF AIR FORCE,BEXAR,TEXAS,USA",29.4200763,-98.5721016
54,BG0083T,RN101677003,EXXONMOBIL PIPELINE COMPANY,SAN ANTONIO TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0.0,0.0394,0.0394,0,24.54,"EXXONMOBIL PIPELINE COMPANY,BEXAR,TEXAS,USA",29.4200763,-98.5721016
55,BG0098G,RN101073013,CITGO PETROLEUM CORPORATION,CITGO SAN ANTONIO TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0.0,0,0,0,26.8696,"CITGO PETROLEUM CORPORATION,BEXAR,TEXAS,USA",29.4345153,-98.39689229999999
56,BG0103P,RN101485183,THE SAN ANTONIO REFINERY LLC,PETROLEUM REFINERY,BEXAR,13.0,2911.0,PETROLEUM REFINING,2020,50.023,38.5661,0.0,5.1805,5.179,7.1613,80.8671,"THE SAN ANTONIO REFINERY LLC,BEXAR,TEXAS,USA",29.3451628,-98.4434807
57,BG0170A,RN100220094,US DEPT OF AIR FORCE,JBSA RANDOLPH,BEXAR,13.0,9711.0,NATIONAL SECURITY,2020,9.5503,7.151,0.0,1.0717,0.9028,0.1562,1.011,"US DEPT OF AIR FORCE,BEXAR,TEXAS,USA",29.4200763,-98.5721016
58,BG0186I,RN100217835,CITY PUBLIC SERVICE BOARD,VH BRAUNIG PLANT,BEXAR,13.0,4911.0,ELECTRIC SERVICES,2020,153.31,857.11,0.0017,100.69,100.61,9.41,51.75,"CITY PUBLIC SERVICE BOARD,BEXAR,TEXAS,USA",29.3722978,-98.40711979999999
59,BG0210N,RN102301280,THE SAN ANTONIO REFINERY LLC,ELEMENDORF TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0.0,0,0,0,13.731,"THE SAN ANTONIO REFINERY LLC,BEXAR,TEXAS,USA",29.3451628,-98.4434807
60,BG0218U,RN100519214,MOTIVA ENTERPRISES LLC,SAN ANTONIO MARKET TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,0.3545,0.1418,0.0,0.0058,0.0058,0,27.822,"MOTIVA ENTERPRISES LLC,BEXAR,TEXAS,USA",29.4200763,-98.5721016
61,BG0252U,RN101478238,NELSON GARDENS ENERGY LLC,NELSON GARDENS,BEXAR,13.0,4953.0,REFUSE SYSTEMS,2020,62.9868,11.26,0.0,0.716,0.716,5.9528,10.179,"NELSON GARDENS ENERGY LLC,BEXAR,TEXAS,USA",29.3251113,-98.66219319999999
62,BG0253S,RN102310901,NUSTAR LOGISTICS LP,SAN ANTONIO SOUTH TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,1.0655,2.6361,0.0,0,0,0,26.3623,"NUSTAR LOGISTICS LP,BEXAR,TEXAS,USA",29.4200763,-98.5721016
63,BG0259G,RN100220474,ALAMO CEMENT COMPANY,1604 PLANT,BEXAR,13.0,3241.0,"CEMENT, HYDRAULIC",2020,419.86,2111.4,0.0016,82.7284,25.8853,3.4699,47.4976,"ALAMO CEMENT COMPANY,BEXAR,TEXAS,USA",29.6107,-98.373277
64,BG0346K,RN100222983,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,BEXAR,13.0,8733.0,NONCOMMERCIAL RESEARCH ORGANANIZATIONS,2020,38.5402,66.756,0.0,1.2268,1.2268,5.0156,54.3685,"SOUTHWEST RESEARCH INSTITUTE,BEXAR,TEXAS,USA",29.4521256,-98.6102811
65,BG0406R,RN100579069,TJ TEXAS INC,WESTOVER HILLS,BEXAR,13.0,3674.0,SEMICONDUCTORS AND RELATED DEVICES,2020,1.7979,4.42,0.0,0.268,0.268,0.654,7.2089,"TJ TEXAS INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016
66,BG0488M,RN101058733,FLINT HILLS RESOURCES CORPUS CHRISTI LLC,SAN ANTONIO TERMINAL,BEXAR,13.0,5171.0,PETROLEUM BULK STATIONS & TERMINALS,2020,0.9635,0.386,0.0,0,0,0,22.3569,"FLINT HILLS RESOURCES CORPUS CHRISTI LLC,BEXAR,TEXAS,USA",27.8005828,-97.39638099999999
67,BG0526G,RN102459393,INTERTEK AUTOMOTIVE RESEARCH,INTERTEK AUTOMOTIVE RESEARCH,BEXAR,13.0,8734.0,TESTING LABORATORIES,2020,64.0436,31.7227,0.0,0.4165,0.4165,2.1702,5.5333,"INTERTEK AUTOMOTIVE RESEARCH,BEXAR,TEXAS,USA",29.4793421,-98.59236489999999
68,BG0535F,RN100221373,ARCONIC TECHNOLOGIES LLC,SAN ANTONIO WORKS,BEXAR,13.0,3353.0,ALUMINUM SHEET PLATE & FOIL,2020,0.3542,0.4979,0.0,0.0374,0.0374,0.0092,0.0392,"ARCONIC TECHNOLOGIES LLC,BEXAR,TEXAS,USA",29.274125,-98.368138
69,BG0579I,RN100852615,WIN SAM INC,UTSA CENTRAL ENERGY PLANT,BEXAR,13.0,4939.0,COMBINATION UTILITY NEC,2020,7.1693,4.7701,0.0,19.714,0.8018,0.1028,0.5981,"WIN SAM INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016
70,BG0734U,RN100212422,BFI WASTE SYSTEMS OF NORTH AMERICA INC,TESSMAN ROAD LANDFILL,BEXAR,13.0,4953.0,REFUSE SYSTEMS,2020,60.24,18.07,0.0,59.272,35.751,39.36,24.3649,"BFI WASTE SYSTEMS OF NORTH AMERICA INC,BEXAR,TEXAS,USA",29.3814225,-98.391533
71,BG0899K,RN100851625,FLOWERS BAKING CO OF SAN ANTONIO LLC,FLOWERS SAN ANTONIO BAKERY,BEXAR,13.0,2051.0,"BREAD, CAKE AND RELATED PRODUCTS",2020,4.2839,5.2078,0.0,0.5346,0.4905,0.0719,6.6107,"FLOWERS BAKING CO OF SAN ANTONIO LLC,BEXAR,TEXAS,USA",29.4651521,-98.4034049
72,BG1066M,RN100218338,WASTE MANAGEMENT OF TEXAS INC,COVEL GARDENS RPD FACILITY,BEXAR,13.0,4953.0,REFUSE SYSTEMS,2020,142.0531,28.2994,0.0,41.4333,18.4425,49.2738,29.389,"WASTE MANAGEMENT OF TEXAS INC,BEXAR,TEXAS,USA",29.4200763,-98.5721016
73,BG1102K,RN100215854,BOEING COMPANY,BOEING - SAN ANTONIO,BEXAR,13.0,3721.0,AIRCRAFT,2020,1.0244,1.3602,0.0,0.0571,0.0571,0.0568,43.9705,"BOEING COMPANY,BEXAR,TEXAS,USA",29.4200763,-98.5721016
74,BG1171O,RN102339231,STANDARD AERO SAN ANTONIO INC,STANDARD AERO SAN ANTONIO,BEXAR,13.0,3728.0,AIRCRAFT PARTS & EQUIPMENT NEC,2020,1.0987,1.629,0.0,0.8024,0.7932,0.0359,21.0165,"STANDARD AERO SAN ANTONIO INC,BEXAR,TEXAS,USA",29.37823539999999,-98.5713494
75,BG1199P,RN100542828,NATIONS CABINETRY LLC,CABINET MFG FACILITY,BEXAR,13.0,2434.0,WOOD KITCHEN CABINETS,2020,6.1176,7.2829,0.0,2.9041,2.9036,0.0438,26.0311,"NATIONS CABINETRY LLC,BEXAR,TEXAS,USA",29.4061698,-98.5793821
76,BG1233R,RN100632629,BIO ENERGY AUSTIN LLC,TESSMAN RD LFG POWER STATION,BEXAR,13.0,4911.0,ELECTRIC SERVICES,2020,131.77,72.7,0.0,2.3,2.3,3.89,1.304,"BIO ENERGY AUSTIN LLC,BEXAR,TEXAS,USA",30.267153,-97.7430608
77,BG1306P,RN101966075,UNITED SERVICES AUTOMOBILE ASSOCIATION,NORTH & SOUTH PLANTS,BEXAR,13.0,6399.0,"INSURANCE CARRIERS, NEC",2020,6.6702,10.4902,0.0,2.6276,2.6276,0.0148,0.9507,"UNITED SERVICES AUTOMOBILE ASSOCIATION,BEXAR,TEXAS,USA",29.4200763,-98.5721016
78,BGA001A,RN104156062,BIO ENERGY TEXAS LLC,COVEL GARDENS LANDFILL GAS POWER STATION,BEXAR,13.0,4911.0,ELECTRIC SERVICES,2020,251.75,44.61,0.0,18.24,18.24,13.63,17.6586,"BIO ENERGY TEXAS LLC,BEXAR,TEXAS,USA",29.4200763,-98.5721016
79,BGA002B,RN105433890,TOYOTA MOTOR MANUFACTURING TEXAS INC,TOYOTA VEHICLE ASSEMBLY PLANT,BEXAR,13.0,3711.0,MOTOR VEHICLES AND CAR BODIES,2020,8.7506,11.3969,0.0,20.375,7.7963,0.1247,312.1124,"TOYOTA MOTOR MANUFACTURING TEXAS INC,BEXAR,TEXAS,USA",29.2624841,-98.54106639999999
80,BGA010J,RN104320064,TOYODA GOSEI TEXAS LLC,TOYODA GOSEI TEXAS,BEXAR,13.0,3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,2020,8.4499,10.0575,0.0,0.77,0.77,0.0608,58.9461,"TOYODA GOSEI TEXAS LLC,BEXAR,TEXAS,USA",29.2588273,-98.5361983
81,BGA029C,RN105885446,AVANZAR INTERIOR TECHNOLOGIES LTD,BUILDING 41 EXPANSION,BEXAR,13.0,3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,2020,0,0,0.0,0.01,0.01,0,35.071,"AVANZAR INTERIOR TECHNOLOGIES LTD,BEXAR,TEXAS,USA",29.25715,-98.54364799999999
